Id,SalePrice
2658,135120.49765200785
2718,174276.18584378928
2414,221387.72387017845
1989,123278.87067922513
625,180383.8572366098
333,86199.16124804938
1327,102832.32613226486
858,150595.9880978157
95,187000.2632805322
1568,160896.56270604342
2482,164018.60772295244
1364,121188.31896151212
2584,152058.92285620928
818,261980.5965853192
2673,159156.89524690754
2089,120343.67438697937
1297,156259.40865696815
790,119562.9139688763
2616,193743.77517528675
720,208709.30804886742
222,139625.7485654384
557,124118.67330721545
1148,193694.12945608323
2766,165648.9837727914
534,185103.39428457458
1452,114635.19409260097
630,140465.75350460928
2648,147732.97263743688
125,164767.49508465588
1904,41720.48079325052
1670,103686.9945842751
756,106318.67285945982
717,250016.45447715465
1032,165490.3280069254
852,217681.22204542576
1731,181063.1140554511
2639,120449.81937686051
2071,66975.22808041822
1267,128402.57418842934
1851,193056.167929172
567,170314.0933091155
2439,209371.34807846238
1898,154962.8852754651
647,164618.0470645392
2256,225045.60869833146
979,94084.39169627662
1444,229623.9596366835
2485,117313.48028028078
157,111922.01345918298
88,127059.3830301454
2003,115486.3420208339
186,219771.0890486091
1425,243928.44924046274
2695,130892.4599170304
738,116125.39162526058
395,146604.523435718
1353,171531.28859210364
1878,146460.84270378947
390,166509.46564218865
1456,234803.4940425128
1103,315485.5771576814
1387,134021.09283871145
2070,148585.74239394584
1199,177495.7491326243
2479,184515.424269396
501,296766.64549141284
2362,91241.48535986771
1718,226201.23078517173
2188,81095.77672418932
1483,167257.2643961841
2557,86009.53191911435
437,336296.6248824708
2224,200247.89365815106
1628,184404.83879502886
397,133129.87541347858
587,207037.90699626916
2182,113212.36203430468
971,146355.49119959518
2611,149957.27804761563
1887,83361.4502570129
2399,356909.55694641033
2148,206308.12584635377
304,138565.8445688695
1997,140436.3280964405
2817,124432.43986219683
1431,196979.51784874068
427,344223.9689730394
263,121335.25992713758
598,192815.57604273647
2895,234579.71194455432
687,149189.52009118232
1822,131079.9279019232
2191,103941.34830847038
179,119165.51040594294
1009,236881.6265325279
2010,119311.9086052405
1991,154984.27686406218
1411,177261.17595176396
1721,243477.32475429564
1144,196966.5444307314
593,218843.83257377762
575,301747.8003265788
1249,185115.40619564714
1604,116544.95823081216
1064,431995.83415048197
1923,159121.52453258954
1988,104862.65849472651
2325,173680.71149552963
114,208518.68380687467
2700,179532.0869773369
217,139460.38205061556
343,188055.35693331296
386,225470.06677865505
2005,107070.97548096732
2908,121873.85059046518
1814,243851.8256915137
2446,438069.8778721775
208,149999.90359115123
1679,114723.48673925735
822,319485.95288476517
6,182739.6917007139
1781,375573.2284458643
2397,303524.8945247227
2340,306230.0613634824
1618,159419.8155989504
2843,158815.28968116824
1061,350074.28480529436
2786,114209.80106567751
1935,132369.74630812858
1341,117383.0318211792
521,253571.70327310276
2136,136633.776209242
996,194896.29081373222
227,139623.75977002174
135,180636.22428665071
1167,156744.26713998846
294,228327.4370696347
1776,206880.68933111225
540,179745.80458917352
1717,234898.00170219972
2303,114981.80749360497
116,189855.28280076757
127,132553.6093843042
1371,131988.55450204294
1014,170609.6043088722
1507,89149.05973056138
702,150891.63419733202
750,156624.13459415376
261,147556.44851281145
1559,67268.06857314447
577,224909.34342871764
2812,200675.3027351978
2080,165850.8339563618
1368,117864.4999572694
2376,119784.23256248595
659,117131.86144500857
1235,132508.4010513054
332,74175.6044403777
1917,144255.6628280296
2094,244168.7570335459
1460,259576.55703093385
1471,217085.98224916795
1509,119128.94912418866
1922,122917.77844733757
433,437619.3493615857
460,276242.8979480587
1116,226977.4690935228
1137,170482.89694798162
53,171899.4862381255
2354,262177.5355718654
1475,203509.82219478476
1761,38302.446227069275
842,134868.18158453016
2739,179175.13229248972
2509,158969.9242762053
1007,208349.78246332105
2610,183215.37551602206
1952,97901.88352210783
2719,179227.55308628327
2921,85219.41009007869
1966,142079.80561713816
292,132368.1236619104
1204,203245.36771250278
1829,247575.82404738438
2419,196113.70055208646
391,159292.84289789907
798,129069.00966930823
481,203538.9567221793
193,208225.99944534377
555,113300.8418289229
899,59893.83036822826
2357,177790.0634204852
328,128155.34450199918
1356,111134.83063946557
1154,111038.85491653199
1730,191145.8483036421
2249,147864.8821052558
1119,273845.82251645584
2856,148020.04981497524
1394,130814.90061841958
2587,123518.23904777183
61,292585.0013435328
2661,185267.06788777016
2711,130078.30743954645
1147,194720.66219173887
757,140225.54251091834
2623,84411.8496692987
2378,142469.53180615976
1413,148903.01675893588
1722,230574.3546296542
1112,217516.80879005353
1623,184961.36654147162
1201,206171.1446411131
1513,120585.82296932794
957,335250.742103092
1171,261532.9734899449
1145,204894.1902929074
2726,228556.92320453722
703,150636.08954799018
760,108396.25447836677
1964,137246.72905399092
2512,186925.84493634317
159,143180.60158426728
1281,178456.3254168666
468,187665.30266265498
290,121900.96286994318
665,111340.81299781112
1463,259207.8397768757
1792,213700.93390107813
923,145265.5498981896
500,276059.18353666586
1408,169853.50482913118
331,68089.74956204534
170,148811.21549032314
2192,94811.90006825054
2571,310369.61002166587
2314,164665.05197892076
2647,91021.848447992
422,391748.5282863119
2457,340580.16443917045
1838,201444.15374736843
2805,253442.7831040289
1645,157135.5770189845
1711,294282.93926779187
2825,242171.70300241484
322,312358.04693364666
2103,261316.00998466325
342,123289.51061922501
600,106005.13205984316
488,173778.64420278114
1725,312916.5396762163
2246,283102.70614125393
2847,160145.2198025964
806,240464.36910308278
530,224542.48593836525
963,200816.00697326692
2678,102219.52744246891
171,86329.34162679227
2401,406209.53954538156
805,222220.476050361
2259,239877.6630876189
1748,186757.398898932
1361,143269.8772057593
1677,122947.52444156018
1406,157777.68459808503
2322,241119.49937919964
688,165158.84177956352
143,143707.43780906484
804,215737.66110357002
1214,175394.0601979272
2828,157535.4438615771
1999,208350.13846478233
2467,204578.4644357499
2665,171504.89362830506
1538,320475.68949926633
398,109734.57940131502
2822,154169.8002645027
2157,156234.9467538096
1856,190814.90960024836
1269,94069.41127489683
2570,125490.25389124153
2320,232256.79279101556
1517,128997.16708626907
2304,116146.8515161839
1312,99487.61997727853
2012,139253.87415838498
506,238417.09905700458
2865,201212.78983107512
2367,111253.75102388828
554,99578.29846702349
238,144209.77766358733
1954,105624.143900245
2488,133412.62429115095
2291,82380.20566234164
1969,88058.5968009513
2725,166755.8742844499
1482,161271.51009976343
2763,211487.5556839822
503,256039.86615845177
1584,246865.3613684558
1531,156076.42375954846
2210,181074.79111815357
459,329242.00531846046
556,125183.61952752914
1347,157033.27670655696
1290,77762.10984624627
1388,104711.01020227556
1571,259964.07717735256
2754,214724.03924457956
765,151286.89470180921
2494,125290.14133626653
2870,209147.10245907822
7,235509.71238239115
1114,244026.51706115645
2418,274315.93429861485
291,134831.22243005404
18,354184.7756258151
39,367136.7829929509
